TV#,A,B,C,D,E,Batch Size
1,18,53,55,59,61,10
2,19,63,61,73,72,20
3,19,65,67,77,77,30
4,19,70,69,79,82,40
5,19,72,70,83,85,50
6,19,73,71,83,85,60
7,19,77,74,86,86,70
8,19,80,75,86,87,80
9,19,80,76,87,89,90
10,19,81,77,87,90,100
11,19,81,77,87,90,110
12,19,81,77,87,90,120
13,19,82,79,87,90,130
14,19,83,80,87,90,140
15,19,85,80,87,90,150
16,20,86,80,88,90,160
17,20,86,80,88,90,170
18,20,87,80,89,91,180
19,20,87,81,90,91,190
20,20,89,82,90,91,200
21,20,89,82,90,91,210
22,20,89,82,90,92,220
23,20,90,82,90,92,230
24,20,90,82,90,92,240
25,20,90,82,90,92,250
